label1;label2;label1_2;label2_2;sentence;filename;sentid
2;3;;;Ze ondernemen een tochtje naar de Provence , een omgeving waar Pierre ooit heel gelukkig was met de moeder van Sonny .;output_part00008.sents.gz;14480_1.p.7.s.2
3;1;;;Het verhaal van Gijs wordt namelijk vertelt vanuit de derde persoon .;output_part00003.sents.gz;16906_1.p.2.s.4
;;;;""" Gefeliciteerd , prinsesje van me !";output_part00064.sents.gz;21644_1.p.7.s.2
;;;;Die volg ik bijna altijd blindelings , maar helaas zit er dus ook wel eens een miskleun tussen .;output_part00005.sents.gz;1204_1.p.1.s.4
4-;2;;;"De "" achterflap "" van een boek dekt zelden de lading , en prijst een boek hoger dan de werkelijkheid .";output_part00015.sents.gz;868_1.p.1.s.1
2;;;;Eigenlijk raakt Meta Gemert veel actuele problematiek en andere thema’s aan .;output_part00010.sents.gz;18204_1.p.2.s.7
;;;;Ze heeft ongetwijfeld gelijk , want zij kent zowel haar vader als Atlas .;output_part00008.sents.gz;7210_1.p.12.s.2
5;2;;;Ik ben eraan begonnen met het gedacht in een top-romantisch verhaal te belanden .;output_part00014.sents.gz;15700_1.p.1.s.2
3;2-;3-;;Uiteraard is het allemaal tragisch en bijzonder wat Liesabeth is overkomen , maar persoonlijk zit ik er helemaal niet om te springen om ruim 300 bladzijden over het leed van een wildvreemde te lezen .;output_part00008.sents.gz;16250_1.p.1.s.2
2-;;;;Columbine en Virginia Tech klasseren onder seriemoorden gaat me net iets te ver en ook Anders Breivik lijkt , hoe gruwelijk zijn daden ook waren , gecast in het verkeerde boek .;output_part00026.sents.gz;5594_1.p.3.s.4
2;;3;;Tiedemann vult pagina na pagina met gesprekken tussen politici , waarvan Ariel er een is , en met details ook over bedrijfsstructuren die zijn opgezet .;output_part00016.sents.gz;16414_1.p.3.s.4
2;4;4;;Dit Splinters-verhaal werd als een genreverhaal gepresenteerd , zowel via de uitgever als via de Paul Harland Prijs waar het aan deel heeft genomen ( 22e plaats , 2014 ) .;output_part00028.sents.gz;6160_1.p.1.s.1
;;;;Ik heb ongeveer 3000 boeken van bijna alle belangrijke schrijvers .;output_part00018.sents.gz;7778_1.p.1.s.1
2;5-;5-;;Ik heb het enkel uitgelezen omdat deze past in de categorie doorbraakboek van dit jaars reading challenge … Ik vond het een heel saai boek , helemaal niet spannend .;output_part00026.sents.gz;6062_1.p.1.s.2
2-;1-;1-;;Door te weinig verdieping , Arabische woorden/kreten waarvan ik zonder woordenboek de betekenis niet ken en veel erg korte zinnen , bijna telegramstijl , ben ik halverwege afgehaakt .;output_part00026.sents.gz;2592_1.p.1.s.1
5-;1-;2-;;Een volstrekt ongeloofwaardig verhaal , veel vervelende oudemannen humor , veel te lang .;output_part00023.sents.gz;19436_1.p.1.s.2
5+;;2+;;Het verhaal heeft zeker potentie .;output_part00061.sents.gz;21880_1.p.5.s.1
2+;5-;;;Enkel het moment waarbij de 'Dimitri'-connection aan bod komt laat de bladzijden wat vlugger omslaan .;output_part00024.sents.gz;3452_1.p.1.s.3
3-;1-;3-;;De relatie tussen de schout en zijn chef is een karikatuur en de verhouding tussen de elite en hun zwoegende bedienden blinkt niet uit in enige nuancering .;output_part00018.sents.gz;4934_1.p.1.s.16
2;;;;Aan het eind van het boek weet je zelfs dat de caissière in de supermarkt haar haren graag föhnt .;output_part00002.sents.gz;19410_1.p.7.s.3
2;;;;Telkens als Carole even in rustig vaarwater zat en bv. op een feestje verkeerde kon je op je klompen aanvoelen dat de boef zich binnen 1 pagina weer liet zien ... en ja hoor ... daar was hij weer !;output_part00005.sents.gz;11564_1.p.1.s.12
;;;;Misschien is er dus toch nog enige hoop en heeft Rolf gewoon voor het verkeerde genre gekozen .;output_part00013.sents.gz;7362_1.p.3.s.3
;;3;;Neem een vrouwelijke hoofdpersoon .;output_part00015.sents.gz;14364_1.p.1.s.2
;;;;( Biblion recensie , Henk Kisteman . );output_part00019.sents.gz;4668_1.p.2.s.19
2;;;;"Over verbazing gesproken : een gemoedstoestand die ( te ) veel voorkomt in "" De Deal "" .";output_part00017.sents.gz;19186_1.p.5.s.3
;;5;;Las iemand van jullie het boek wel uit ?;output_part00005.sents.gz;4746_1.p.4.s.2
3;;3;;Samen met de andere hoofdfiguren Tony Ravioli ( ober ) en Billy Bongo alias Ko de kwaadste ( zowel schattig als crimineel ) beleven ze aardig wat avonturen in alweer deel drie van de Foxy en Alfonso-serie .;output_part00005.sents.gz;6632_1.p.1.s.5
2;;2;;De meeste gegevens , waarop het verhaal is gebaseerd , heb ik jaren geleden reeds in andere boeken gelezen , waaronder De jacht op de Heilige Graal , verschenen in 2000 ( ISBN 90 215 9572 9 ) .;output_part00020.sents.gz;19356_1.p.1.s.1
;;2;;Tot slot de feiten waarop het verhaal zich baseert .;output_part00003.sents.gz;1734_1.p.5.s.1
2;;2;;Het is een geliefd onderwerp in young adultboeken : de mysterieuze mogelijkheden van magie .;output_part00023.sents.gz;19930_1.p.1.s.1
2-;;2-;;De ‘ geschiedenis van de zussen Mitford ’ , zoals de ondertitel van het boek luidt , geeft een onsamenhangende opeenstapeling van feiten , van interpretaties van de biografe , van roddels en van ‘ ’ horen zeggen ’ , van onwaarschijnlijke verbanden en conclusies .;output_part00020.sents.gz;18294_1.p.1.s.9
5-;;5-;;Op bladzijde 200 begon het mij ook echt te irriteren , en ben ik na 255 bladzijdes te hebben gelezen gestopt .;output_part00021.sents.gz;17980_1.p.5.s.8
2-;;5-;;Dit boek slaagt er evenmin in om me te overtuigen dat ‘ Haar naam was Sarah ’ geen toevalstreffer was .;output_part00012.sents.gz;3604_1.p.1.s.3
2;3;;;Hij geeft muziekles voor de kost , woont in een antikraakpand en heeft een relatie met Sylvia .;output_part00010.sents.gz;18204_1.p.1.s.13
;;;;‘ Je hebt een mooi karakter , maar daar heb je in bed niks aan . ’;output_part00063.sents.gz;21680_1.p.3.s.4
2;3;;;Ze vindt werk als dienstmeisje bij een medewerkster van de regering en komt zo meer te weten over het bestuur van het land .;output_part00011.sents.gz;5634_1.p.2.s.3
2;;;;Of dat er in België kinderen werden vermoord omdat de kwade machten gefrustreerd waren dat ze niet bij Monica , die zwanger is van het Reddende Kind , konden komen .;output_part00011.sents.gz;10974_1.p.1.s.23
5;;;;Na alle goed recensies dit boek gaan lezen .;output_part00024.sents.gz;7292_1.p.1.s.1
;;3;;"En dat is alles waar we in geinteresseerd zijn als lezer ; de karakters in het boek , wie ze zijn , hun achtergrond etc.";output_part00009.sents.gz;2948_1.p.2.s.4
2-;;;;Het einde van een tijdperk wordt erg eenzijdig ingevuld vanuit een vals soort nationalisme dat geen recht doet aan de complexe werkelijkheid .;output_part00028.sents.gz;1688_1.p.1.s.7
2-;;2-;;Dit boek staat voor mij vol met trucjes en was voor mij geen verhaal met een plot .;output_part00023.sents.gz;14946_1.p.1.s.1
;;;;Had hiervoor tegengif gelezen en was razend enthousiast .;output_part00025.sents.gz;11494_1.p.1.s.2
;;2;;Twee waargebeurde verhalen worden met elkaar verweven door het kookboek ‘ De Kunst van het Koken ’ van Julia Child , die één van de eerste tv-koks was van de wereld met haar tv-programma ‘ The French Chef ’ ' .;output_part00001.sents.gz;7246_1.p.1.s.2
5-;;2-;;Ik heb dit boek voor een poosje terug gelezen en vond het een oninteressant boek zonder inhoud .;output_part00027.sents.gz;14142_1.p.1.s.1
2;3;3;;Zo komen er een paar mannelijke zijfiguren voorbij met wie dominee Ingrid contact krijgt .;output_part00022.sents.gz;14660_1.p.2.s.13
2;3;2;;Het boek gaat over Aldo , die allerlei zaken onderneemt die echter geen van allen goed aflopen .;output_part00023.sents.gz;286_1.p.1.s.6
5;;4;;Het lijkt wel een boeketreeksje .;output_part00012.sents.gz;3220_1.p.1.s.2
5-;;5-;;Dit is wel het meest slecht door te komen boek , die ik ooit heb gelezen .;output_part00017.sents.gz;14522_1.p.5.s.3
2-;;;;Maar geen enkel van deze gegevens wordt fatsoenlijk uitgewerkt .;output_part00012.sents.gz;6708_1.p.1.s.15
5;;2;;Mogelijk zijn er enkele dingen van de inhoud waar .;output_part00011.sents.gz;4998_1.p.1.s.3
2-;;;;Maar heel dat gedoe met de gijzeling kon me niet boeien .;output_part00021.sents.gz;9938_1.p.1.s.7
5;;;;Alhoewel dit bloedserieus bedoeld is , laat het werk zich nog het beste als een pastiche lezen .;output_part00027.sents.gz;15766_1.p.1.s.6
;;;;"Ik voelde me landerig , duizelig , en overwoog maar weer eens naar de dokter te gaan . """;output_part00019.sents.gz;14860_1.p.4.s.6
5;;5;;Moet het boek dan worden gelezen als een dijenkletser ?;output_part00002.sents.gz;16126_1.p.6.s.7
5-;;;;Brown wordt slechter met elk boek .;output_part00023.sents.gz;16034_1.p.1.s.2
1;;1;;Een andere opmerkelijke vaststelling is dat de hoofdstukken aflopend genummerd zijn : het is niet alledaags dat een boek begint met hoofdstuk 99 en eindigt met hoofdstuk 0 , en die alle ook nog eens een titel dragen waarvan de logica voor de niet-amateurastronomen onder ons pas op de laatste bladzijde duidelijk wordt .;output_part00012.sents.gz;6708_1.p.1.s.11
1-;;1-;;Te veel opsomming en niet vloeiend te lezen .;output_part00013.sents.gz;3610_1.p.1.s.5
2-;;2-;;Daar snap ik helemaal niets van want de afloop kon je van mijlenver al aan zien komen .;output_part00006.sents.gz;13482_1.p.1.s.9
1;;;;Dit leidt , uiteraard , tot een erg ‘ tekstige ’ strip .;output_part00019.sents.gz;12620_1.p.2.s.4
;;;;En dit nog los van het volslagen onbegrip van de argeloze lezer , die ooit wel eens van mw. Cornwell gehoord heeft en denkt : Kom , we proberen eens wat nieuws na de vakantie .;output_part00005.sents.gz;156_1.p.1.s.4
3;;;;Andrew moet zich daar tegen wil en dank in verdiepen , om zijn medeleerlingen en zichzelf te beschermen .;output_part00016.sents.gz;7916_1.p.1.s.19
5-;;5-;;Ik ben op pagina 120 beland en heb nog geen moment gedacht dat ik een boek las dat wordt beschreven als een ster aan het literaire firmament .;output_part00022.sents.gz;7622_1.p.1.s.2
3-;;;;Voeg daar dan ook nog de belachelijke dominee aan toe ...;output_part00007.sents.gz;13998_1.p.2.s.8
;;;;Ik vrees dat ik de nog te verschijnen delen links zal laten liggen .;output_part00003.sents.gz;15354_1.p.1.s.2
;;;;Ook hier is er plaats voor wetenschap maar met een doel .;output_part00027.sents.gz;8856_1.p.4.s.2
3;;;;Hij denkt na over zijn tijd in de gevangenis .;output_part00063.sents.gz;21898_1.p.1.s.5
5-;;5-;;Mijn verwachtingen waren hooggespannen , maar jammer genoeg heb ik het boek puur op wilskracht moeten uitlezen .;output_part00022.sents.gz;14044_1.p.1.s.2
2-;;;;Het onderzoek met behulp van nietszeggende cryptogrammen en goedbedoelde prietpraat is te vermoeiend voor woorden ...;output_part00017.sents.gz;2728_1.p.2.s.15
;;;;Hoewel ze er slecht aan toe is , vergaat het haar heel goed in het stadje .;output_part00006.sents.gz;16838_1.p.1.s.2
2-;;2-;;Nu zijn er meerdere thema’s die uiteindelijk wel met elkaar te maken hebben in dit boek , maar die mij als lezer niet duidelijk alles verteld en dat vind ik jammer .;output_part00021.sents.gz;11034_2.p.1.s.6
2;;2-;;Een zwaarmoedige atmosfeer domineert constant en leidt uiteindelijk in het geval van Mari tot een geforceerd dramatische ontknoping .;output_part00061.sents.gz;21616_2.p.2.s.8
2;3;;;Anju , dochter van een Nederlandse vader en een Indiase moeder , groeit op in India .;output_part00016.sents.gz;1110_2.p.1.s.1
;;5+;;Deel 1 was nog wel leuk om te lezen .;output_part00061.sents.gz;21850_2.p.1.s.5
;;;;In ieder geval voor een audioboek .;output_part00023.sents.gz;15244_2.p.1.s.6
1-;;1-;;Qua schrijfstijl valt Higgins soms wat in herhaling .;output_part00026.sents.gz;11726_2.p.5.s.1
5-;;2-;;Het verhaal komt langzaam op gang .;output_part00025.sents.gz;12542_2.p.1.s.4
2;;;;Na het in boekvorm uitkomen van het eerste seizoen kon het tweede seizoen natuurlijk niet uitblijven .;output_part00022.sents.gz;624_2.p.1.s.3
2;3;;;Eenzaam telt ze haar dagen , tot op een dag Adam bij haar in haar cel erbij komt ...;output_part00024.sents.gz;5828_2.p.1.s.7
5-;;5-;;"Ik vind ' Haar naam was Sarah ' ongekend smakeloos . """;output_part00006.sents.gz;13090_2.p.1.s.7
2-;;2-;;Romantische scenes zijn dan oke , maar dat hitsige gedoe ( constant ) in het boek Touch me Touch me Touch me werd erg irritant naarmate het boek vorderde .;output_part00002.sents.gz;876_2.p.20.s.3
;;;;Dan krijg je een beeld van de wereld !;output_part00064.sents.gz;22150_2.p.7.s.8
2;3;;;Daardoor blijven er zes mannen over die strijden voor Eadlyns hart .;output_part00025.sents.gz;4140_2.p.2.s.5
;;;;Dat komt ook door het dubbelleven van mevrouw Recht .;output_part00016.sents.gz;20016_2.p.1.s.5
;;;;Klein detail , de huidige Coben is namelijk een fantastische auteur !;output_part00002.sents.gz;11996_2.p.6.s.7
5+;;5+;;Wij en ik is een mooi staaltje literatuur maar spijtig dat ik me er toch heb moeten doorslepen , spijt dat ik hem heb gelezen nee smaken verschillen trouwens en ik raad hem toch aan om hem te lezen : );output_part00014.sents.gz;16832_2.p.1.s.1
;;;;Na het zien van de Netflix-serie besloot ik me aan het boek te wagen .;output_part00063.sents.gz;21160_2.p.1.s.1
2;3;;;Van Ranswijk lijkt het allemaal wat lichtjes op te vatten , hij is een mannetje dat het heeft gemaakt en de chantage is meer een nare bijkomstigheid .;output_part00020.sents.gz;17406_2.p.5.s.4
;;;;En dus moeten we hem aan de oren trekken en berispen , hij verdient niks minder dan dat !;output_part00023.sents.gz;3516_2.p.7.s.1
2-;5+;5+;;Vér buiten mijn comfort zone , maar ik genoot van iedere blz. ( ook al waardeerde ik sommige met 3 sterren ipv 5 sterren ) .;output_part00028.sents.gz;1340_2.p.2.s.3
5+;;5+;;Het is altijd fijn als je iets aan het lezen van een boek hebt gehad .;output_part00023.sents.gz;15434_2.p.5.s.1
;;;;Strip van de Franse schrijfster Dominique Sylvain , in de originele versie uitgegeven onder de titel Passage du Désir , is de eerste in een – voorlopige ? - reeks van drie misdaadromans met het vrouwelijke speurdersduo Jost - Diesel in de hoofdrol .;output_part00013.sents.gz;18712_2.p.1.s.1
5-;;1-;;Het is zeer vervelend lezen om al vanaf het begin te weten wie de moord heeft gepleegd .;output_part00062.sents.gz;21344_2.p.1.s.3
;;;;Dan ben je voor heel wat minder geld klaar als je je beperkt tot de enige verhalen die de moeite waard zijn .;output_part00003.sents.gz;4646_2.p.1.s.42
;;;;Alleen voor de echte fans van Peter Temple die hun collectie compleet willen maken .;output_part00005.sents.gz;16678_2.p.1.s.19
5-;;5-;;Helaas laat Marain het op alle punten afweten .;output_part00028.sents.gz;10988_2.p.5.s.2
;;;;Maar dit was helemaal niet het geval .;output_part00006.sents.gz;8094_2.p.2.s.4
2+;;2+;;Af en toe wordt het dan toch een beetje spannend .;output_part00009.sents.gz;2682_2.p.3.s.8
1-;;2+;5-;2 sterren omdat het idee goed is , maar de uitwerking zwaar onder de maat blijft .;output_part00018.sents.gz;15762_2.p.1.s.12
;;;;Hij herschreef het verhaal , bood het nogmaals aan en plaatste het manuscript op de site tenpages.com .;output_part00021.sents.gz;4076_2.p.1.s.6
;;;;Zelfgemaakte frietjes eerst even 5 minuten koken voor je ze gaat frituren is er zo eentje .;output_part00012.sents.gz;12336_2.p.9.s.6
;;;;Op het zelfde ogenblik wordt er een man zwaargewond aangetroffen aan de Brugse vismarkt .;output_part00019.sents.gz;12308_2.p.2.s.4
1-;;;;Het is dan niet meteen duidelijk wanneer en waar het zich afspeelt , er is namelijk geen enkele plaats- of tijdsaanduiding .;output_part00020.sents.gz;14476_2.p.4.s.2
;;;;Maar volgens mij is ze het een beetje kwijt .;output_part00004.sents.gz;17580_2.p.1.s.3
;;;;En in een seksclub hebben ze ook seks .;output_part00001.sents.gz;19854_2.p.2.s.4
2;;2;;Wie van de beschrijving van expliciete seksscènes houdt , komt in dit verhaal aan zijn trekken .;output_part00025.sents.gz;1808_2.p.3.s.3
3-;;3-;;Hoofdpersoon Arden Arrowood spreekt onvoldoende tot de verbeelding , ze ' leeft ' niet .;output_part00061.sents.gz;21694_2.p.2.s.1
1;;;;Wat ze doet is veel werk en citaten van anderen gebruiken ( met name materiaal van Arendt ) om haar mening te onderbouwen tegen ' populisten ' in de moderne westerse maatschappij .;output_part00018.sents.gz;14210_2.p.1.s.6
;;5;;Heel eerlijk ik heb dat moeten loslaten om het boek objectief te kunnen beoordelen .;output_part00014.sents.gz;17392_2.p.2.s.1
1;2;5;;Het boek , dat geen indeling in hoofdstukken kent , beschrijft de periode die de schrijver heeft beleefd in het gezelschap van Jansen .;output_part00063.sents.gz;21310_2.p.2.s.2
;;;;Kan R.C. De Zeeuw dit kwaliteitskeurmerk waarmaken , of hebben we hier wederom te maken met een flauwe verkoopstrategie ?;output_part00004.sents.gz;19868_2.p.1.s.5
1-;;1-;;Soms zelfs iets te toegankelijk : er wordt zo veel herhaald dat je het idee krijgt dat je niet serieus genomen wordt .;output_part00025.sents.gz;16498_2.p.3.s.4
2-;;1-;;Jammer , minder chicklit en meer diepgang hadden mij zeker kunnen bekoren .;output_part00022.sents.gz;17064_2.p.2.s.11
;;5;;In plaats daarvan is het boek een herziene uitgave van een boek uit 1997 , opgefrist met een voorwoord en een uitgebreid nawoord .;output_part00025.sents.gz;7984_2.p.3.s.2
2-;;1-;;Na ongeveer een derde van het boek verwacht je dat het verhaal meer diepgang krijgt , maar helaas blijft de auteur op deze vluchtige , bondige wijze de opeenvolgende gebeurtenissen in tijd beschrijven .;output_part00019.sents.gz;18026_2.p.3.s.6
2;;2;;In ' De meisjes ' heet de sekteleider geen Charlie Manson , maar het verhaal is minstens zo direct erop gebaseerd als Aquarius .;output_part00026.sents.gz;5294_2.p.3.s.1
2;;;;Op een gegeven moment wordt Pieter benaderd door Allcorp .;output_part00027.sents.gz;996_2.p.3.s.1
2-;;2-;;Het hoofdthema daarentegen is door heel het boek nogal moeilijk uit te stippelen .;output_part00017.sents.gz;5266_2.p.1.s.13
;;;;‘ Godzijdank , ik had het mis .;output_part00002.sents.gz;18090_2.p.5.s.1
5;;2;;Het ene verhaal pakt je beet , en het andere weer niet .;output_part00011.sents.gz;9712_2.p.3.s.4
;;;;Opgesloten zijn en volkomen machteloos met de situatie , moet veel meer een aanslag betekenen op ieders persoon dan dat er in het boek wordt beschreven .;output_part00015.sents.gz;5744_2.p.7.s.2
;;;;Gelukkig kun je de vier hoofdverhalen ook los kopen als e-books , voor maar 3 dollar per stuk als je Engels leest .;output_part00003.sents.gz;4646_2.p.1.s.41
2;5;5;;Dit boek hangt een beetje tussen een psychologische roman en een thriller in maar ik hang meer naar het eerste dan het tweede .;output_part00005.sents.gz;7870_2.p.1.s.1
;;;;Maar bewijs heeft ze niet , en zich aansluiten bij de Dwaze Moeders op de Plaza del Mayo wil ze ook niet .;output_part00007.sents.gz;9642_2.p.1.s.6
;;2+;;Hoewel het verhaal sympathiek is kan Els Ampe zich nog niet meten met de schrijvers die aan het begin van dit artikel genoemd zijn .;output_part00018.sents.gz;10174_2.p.7.s.1
;;;;Dan naar de minpunten van dit boek .;output_part00025.sents.gz;2206_2.p.4.s.1
2-;;;;Haar ' beste vriendin ' vraagt haar als pseudoniem te fungeren en de reden daarachter sloeg ronduit nergens op .;output_part00017.sents.gz;6762_2.p.3.s.11
2+;1-;2+;5-;Het concept spreekt me erg aan , maar ik vind het niet altijd even goed uitgewerkt .;output_part00017.sents.gz;11056_2.p.2.s.1
;;;;Grandes neemt ons bijna letterlijk aan de hand door deze volksbuurt : “ Kom mee , dan ga we een kijkje nemen ” .;output_part00064.sents.gz;22248_2.p.2.s.1
;;;;Ze is omlijst door de deurpost , waardoor het lijkt alsof ze in een schilderij van Edward Hopper is beland . ”;output_part00062.sents.gz;21106_2.p.4.s.3
;;;;Hoe leef je nou dat avontuurlijke leven ?;output_part00015.sents.gz;12244_2.p.1.s.16
;;;;Lef heb je natuurlijk in alle situaties waarin je je grenzen opzoekt en er soms over heen gaat , niet alleen met outdooractiviteiten .;output_part00020.sents.gz;17216_2.p.1.s.24
3;;3-;;De personages fungeren allemaal als typetjes die hun eigen plaats innemen in de culturele smeltkroes van grootstedelijk Melbourne .;output_part00001.sents.gz;4272_2.p.4.s.3
;;;;Here he had kissed Clary for the first time .;output_part00003.sents.gz;3706_2.p.1.s.7
2-;;1-;;Hilja gaat weliswaar op onderzoek uit , maar dit levert geen grote spanningsbogen op .;output_part00010.sents.gz;4320_2.p.1.s.33
;;;;Rotte Appel kun je met gemak een paar dagen aan de kant leggen .;output_part00013.sents.gz;638_2.p.1.s.27
2-;;2-;;Jammer , want zoals gezegd … al de ingrediënten voor een spannende thriller waren wel aanwezig , ze zijn alleen niet ten volle benut .;output_part00006.sents.gz;362_2.p.4.s.3
2-;;2-;;Maar ook de verhaallijn rondom Marissa en Dr. Bruin kon ik niet plaatsen .;output_part00062.sents.gz;21122_2.p.1.s.8
2+;;2+;;Voor mij is het echter een mooi pamflet over de houding van onze maatschappij tegenover verkrachtingen dat hier mooi verwerkt is in een thriller .;output_part00014.sents.gz;82_2.p.1.s.3
;;;;Hij heeft een flatje maar geen geld want zijn werkgever , Willem heeft hem nog niet betaald .;output_part00004.sents.gz;10260_2.p.1.s.3
5-;;1-;;Maar het lukt de schrijver niet om de clichés te overstijgen .;output_part00010.sents.gz;11616_2.p.1.s.19
;;5+;;Op voorhand beloofde dit boek veel te zijn .;output_part00017.sents.gz;16998_2.p.4.s.1
5-;;5-;;Toch nog twee sterren , want er zijn nog slechtere boeken in omloop .;output_part00027.sents.gz;216_2.p.5.s.8
;;;;Waar is ze , wie is de man , hoe is ze hier terechtgekomen ?;output_part00019.sents.gz;5796_2.p.1.s.3
3;2;;;Dit wordt verteld vanuit het perspectief van een onafhankelijke waarnemer , maar we zitten verder altijd in het hoofd van Olivier .;output_part00063.sents.gz;20256_2.p.2.s.25
2;3;;;Celeste was het antagonist , de ' bad guy ' , maar echt ' bad ' werd ze niet . toch ?;output_part00024.sents.gz;10356_2.p.2.s.5
;;;;"Maar dat is net aan en zeker niet in verhouding met "" behoorlijk goed "" dat hier voor * * * staat .";output_part00024.sents.gz;7566_2.p.1.s.2
;;;;Hoe anders dan met Khomeini is haar relatie namelijk met de andere man uit de titel : Marquis de Sade .;output_part00016.sents.gz;19156_2.p.2.s.3
;;;;Hier en daar komen de ingrediënten voor het doorstaan van zo’n crisis naar voren : volharding , solidariteit en soms daadkracht .;output_part00064.sents.gz;22248_2.p.2.s.3
2-;;2-;;Het einde is te voorspellend en daardoor teleurstellend .;output_part00011.sents.gz;16212_2.p.1.s.20
5-;;;;Ik heb saaiere boeken gelezen .;output_part00011.sents.gz;10742_2.p.1.s.3
;;;;Ze is inmiddels beloond met de televisieserie Bones die gebaseerd is op haar boeken en waar ze ook scripts voor schrijft .;output_part00002.sents.gz;7008_2.p.1.s.2
3+;;3+;;De hoofdpersoon in het boek is redelijk goed neergezet , en zo ook haar ouders .;output_part00063.sents.gz;20222_2.p.3.s.1
